Name	PValue	PFDR	up-regulation or down-regulation
ENTPD5	1.30969E-24	3.84608E-24	down-regulation
MSRB3	6.31146E-25	1.92832E-24	up-regulation
TRIM74	7.32246E-05	2.05936E-05	down-regulation
COCH	7.55249E-32	5.68735E-31	up-regulation
C1orf210	1.28931E-31	9.35956E-31	down-regulation
CTNNB1	6.57606E-23	1.54391E-22	down-regulation
ATF3	5.31115E-14	4.41339E-14	up-regulation
JPX	6.7191E-18	8.86195E-18	down-regulation
RGS7	6.79341E-06	2.1771E-06	down-regulation
PIK3AP1	1.27808E-19	2.09531E-19	up-regulation
VSTM2A	9.15831E-15	8.3208E-15	down-regulation
RHOF	1.35558E-11	8.43382E-12	down-regulation
CYB5R3	1.03729E-29	5.80124E-29	up-regulation
LOC100287896	2.11973E-22	4.74639E-22	down-regulation
ZNF57	2.02064E-37	3.63082E-36	down-regulation
SRGN	1.06943E-24	3.18171E-24	up-regulation
CMTM4	6.14628E-15	5.72317E-15	down-regulation
CEMIP	8.23914E-28	3.62489E-27	up-regulation
KCNMB1	9.46382E-27	3.65043E-26	up-regulation
FGF7	3.38801E-19	5.28009E-19	up-regulation
KGFLP1	1.8503E-14	1.62654E-14	up-regulation
KGFLP2	1.0121E-17	1.30084E-17	up-regulation
2-Sep	2.08266E-64	1.51187E-61	up-regulation
SYT16	1.82689E-10	9.95049E-11	down-regulation
DOK5	5.39314E-39	1.23115E-37	up-regulation
FCER1G	5.13244E-17	6.14415E-17	up-regulation
FUT8	2.5577E-21	5.04544E-21	down-regulation
PTGS2	9.08421E-22	1.87026E-21	up-regulation
IDH1	3.51606E-24	9.69767E-24	down-regulation
PTGFR	3.37386E-24	9.31964E-24	up-regulation
ENTPD3	4.06366E-16	4.34967E-16	down-regulation
NAMPT	1.36067E-14	1.21406E-14	up-regulation
STX19	2.45856E-19	3.89344E-19	down-regulation
PBLD	8.45014E-36	1.12762E-34	down-regulation
FHL5	2.38971E-32	1.95798E-31	up-regulation
C1S	4.17178E-29	2.16008E-28	up-regulation
RHOJ	5.76098E-38	1.14893E-36	up-regulation
PGC	1.02732E-14	9.28957E-15	down-regulation
GNG12	2.60883E-14	2.24975E-14	down-regulation
ITGB2	3.96445E-13	2.9493E-13	up-regulation
PPP1R12B	4.11516E-31	2.75077E-30	up-regulation
NRP2	2.06392E-39	5.23869E-38	up-regulation
GDPD1	6.42419E-24	1.70078E-23	down-regulation
NARR	4.26853E-11	2.50823E-11	up-regulation
RAB34	4.26853E-11	2.50783E-11	up-regulation
CXADR	8.78062E-30	4.94887E-29	down-regulation
TAGLN	1.12418E-37	2.05045E-36	up-regulation
MS4A4A	4.23466E-14	3.56539E-14	up-regulation
LYZ	1.3534E-27	5.75222E-27	down-regulation
CD79A	6.96304E-10	3.55464E-10	up-regulation
LINC00520	1.47593E-10	8.11935E-11	down-regulation
ARHGDIB	9.79847E-24	2.55313E-23	up-regulation
AKT1S1	3.07265E-23	7.56629E-23	up-regulation
UCHL1	3.10049E-32	2.46793E-31	up-regulation
AKR1C1	6.63769E-23	1.55738E-22	down-regulation
AKR1C2	3.87684E-32	3.05905E-31	down-regulation
LOC101930400	3.87684E-32	3.05241E-31	down-regulation
LOC101928605	6.85314E-06	2.19392E-06	down-regulation
OR2A1-AS1	6.85314E-06	2.19372E-06	down-regulation
AGAP2-AS1	3.36908E-39	7.99258E-38	up-regulation
VIM	1.99896E-32	1.66794E-31	up-regulation
SMTN	2.29038E-41	7.84275E-40	up-regulation
HHIP	8.92603E-26	3.04211E-25	down-regulation
DNAJC7	8.97446E-45	5.61626E-43	down-regulation
NEUROD1	1.02714E-08	4.58627E-09	down-regulation
RAB11B-AS1	1.91348E-15	1.90178E-15	down-regulation
ANKRD36BP2	2.34218E-18	3.28111E-18	down-regulation
RP11-757F18.5	2.98749E-20	5.22331E-20	down-regulation
MYRFL	0.000100623	2.77971E-05	down-regulation
FILIP1	1.84753E-22	4.17293E-22	up-regulation
LOC284219	4.17209E-25	1.30321E-24	up-regulation
COL1A1	6.05418E-44	3.38072E-42	up-regulation
CTC-471J1.2	1.5778E-17	1.98781E-17	down-regulation
ZNF654	1.67011E-55	5.05163E-53	down-regulation
KCNK10	7.34187E-18	9.62389E-18	down-regulation
CDC42-IT1	8.61314E-22	1.78034E-21	up-regulation
RP1-142L7.8	1.21929E-38	2.6033E-37	up-regulation
ITGBL1	3.42354E-36	4.81639E-35	up-regulation
PDCD4	7.76392E-19	1.15731E-18	down-regulation
HCG11	1.88888E-16	2.1076E-16	down-regulation
RBPMS	2.25381E-25	7.32372E-25	up-regulation
TLCD2	2.57178E-21	5.07045E-21	down-regulation
LINC01268	3.94012E-28	1.80572E-27	down-regulation
RP5-1092A3.4	3.15474E-19	4.9335E-19	down-regulation
SLC25A43	3.87142E-27	1.57181E-26	down-regulation
PRR26	6.04147E-15	5.63426E-15	down-regulation
GALE	3.37892E-28	1.56433E-27	down-regulation
HSP90AB1	3.86025E-27	1.56903E-26	up-regulation
SLC16A1	5.00091E-15	4.71349E-15	down-regulation
PTRF	1.8734E-31	1.31524E-30	up-regulation
ZKSCAN1	2.38731E-15	2.34447E-15	down-regulation
C8orf88	3.96494E-18	5.40219E-18	up-regulation
FAR1	2.41258E-17	2.99278E-17	down-regulation
CP	5.00594E-15	4.71701E-15	up-regulation
AF289551	6.25794E-41	2.02806E-39	down-regulation
FN1	7.48857E-27	2.92583E-26	up-regulation
DR1	8.46229E-21	1.58082E-20	down-regulation
AHNAK2	9.0001E-23	2.09004E-22	up-regulation
PECAM1	8.18697E-26	2.80869E-25	up-regulation
TMEM144	1.04902E-33	1.03468E-32	down-regulation
ABCC5	7.25465E-16	7.57754E-16	down-regulation
FTX	2.0177E-36	3.00146E-35	up-regulation
LOC100996741	3.49927E-27	1.4287E-26	up-regulation
CABLES1	8.35489E-11	4.73465E-11	down-regulation
MIR143HG	1.71247E-23	4.3436E-23	up-regulation
ZNF321P	1.28577E-17	1.63122E-17	down-regulation
C3orf52	1.40726E-21	2.84404E-21	down-regulation
C4A	7.56669E-12	4.85841E-12	up-regulation
C4B	7.56669E-12	4.85755E-12	up-regulation
C4B_2	7.56669E-12	4.85669E-12	up-regulation
LOC158402	2.3188E-24	6.55489E-24	down-regulation
PCAT18	6.47691E-11	3.72155E-11	down-regulation
LOC727916	1.85213E-16	2.06786E-16	down-regulation
DAB2	1.37431E-32	1.1547E-31	up-regulation
LOC101926921	4.5082E-33	4.02046E-32	up-regulation
DDX60L	1.22169E-15	1.24351E-15	down-regulation
CHPT1	1.62789E-29	8.89867E-29	down-regulation
RP1-30M3.5	3.5575E-27	1.45085E-26	down-regulation
LOC100289019	5.8537E-34	5.98507E-33	down-regulation
AK057978	6.11273E-31	4.01942E-30	down-regulation
CTB-92J24.2	4.90311E-05	1.40874E-05	down-regulation
ITGA1	9.98732E-21	1.84952E-20	up-regulation
LOC101927722	2.85199E-08	1.21972E-08	down-regulation
PRDX5	3.08766E-24	8.60107E-24	down-regulation
RP6-24A23.7	1.65769E-06	5.73199E-07	down-regulation
TIE1	1.36569E-31	9.85485E-31	up-regulation
LINC01127	1.52476E-07	5.95095E-08	down-regulation
NUDT12	1.68353E-24	4.85742E-24	down-regulation
EP300-AS1	5.17013E-16	5.47588E-16	down-regulation
TBC1D8B	7.43226E-34	7.51438E-33	down-regulation
ATP4B	2.47841E-06	8.37675E-07	down-regulation
CTSLP8	7.22683E-20	1.21047E-19	up-regulation
MYLK	1.16353E-28	5.69166E-28	up-regulation
SYTL4	7.2739E-19	1.08829E-18	down-regulation
C8orf49	9.65711E-15	8.75646E-15	down-regulation
PSAPL1	1.17308E-14	1.05393E-14	down-regulation
EMP1	1.7726E-10	9.67511E-11	up-regulation
MUC6	3.04831E-05	8.99759E-06	down-regulation
MEDAG	6.19307E-28	2.76152E-27	up-regulation
FLJ45482	1.20596E-14	1.08187E-14	down-regulation
RPS16P5	8.97802E-19	1.33063E-18	up-regulation
SOD2	1.62108E-22	3.68671E-22	up-regulation
KCNK1	3.82143E-23	9.30282E-23	down-regulation
RETSAT	4.78058E-22	1.0195E-21	down-regulation
RP11-305O6.3	3.12666E-26	1.13148E-25	up-regulation
CD74	2.98381E-23	7.38258E-23	up-regulation
SPP1	9.8951E-23	2.28764E-22	up-regulation
NUDT16P1	5.88464E-21	1.1177E-20	down-regulation
KAZALD1	8.32189E-23	1.93875E-22	down-regulation
CAMSAP3	1.99504E-31	1.38723E-30	down-regulation
LRRC66	8.20625E-36	1.10318E-34	down-regulation
LOC101927934	4.44692E-16	4.73755E-16	down-regulation
MYH11	2.54369E-16	2.78011E-16	up-regulation
SERPINE1	9.00343E-45	5.53889E-43	up-regulation
RP11-218F4.1	2.31463E-08	9.99562E-09	down-regulation
SPIRE2	1.7035E-31	1.20765E-30	down-regulation
VMP1	6.65759E-30	3.81149E-29	up-regulation
IGF2BP3	2.24191E-18	3.14793E-18	up-regulation
SLC1A3	5.81983E-28	2.61436E-27	up-regulation
BC044596	3.07778E-33	2.82818E-32	up-regulation
PDLIM7	2.03073E-43	1.05298E-41	up-regulation
CXCL2	5.16131E-14	4.29282E-14	up-regulation
FNIP2	6.23162E-17	7.39898E-17	down-regulation
BC048103	1.56696E-18	2.25428E-18	up-regulation
CSGALNACT1	1.56212E-17	1.96874E-17	up-regulation
GDA	3.98936E-09	1.86767E-09	down-regulation
MLLT3	2.57255E-25	8.26329E-25	down-regulation
FMO5	3.58122E-25	1.1313E-24	down-regulation
CPXM2	2.84735E-33	2.62975E-32	up-regulation
MYO5B	4.70301E-27	1.87793E-26	down-regulation
TMPRSS2	2.01808E-16	2.24623E-16	down-regulation
LOC643201	7.58456E-14	6.17667E-14	down-regulation
DSP	8.14549E-25	2.44747E-24	down-regulation
AP2M1	3.46074E-19	5.3842E-19	up-regulation
CSRP1	1.08883E-25	3.65258E-25	up-regulation
PFN1	2.36773E-14	2.05256E-14	up-regulation
PTPRF	1.70236E-36	2.5639E-35	down-regulation
NUCB1	1.93841E-44	1.15341E-42	up-regulation
SPARC	2.88181E-31	1.95514E-30	up-regulation
CD81	2.93428E-16	3.18399E-16	up-regulation
PPP2R1A	2.4531E-32	1.9964E-31	up-regulation
PRKCSH	6.4837E-64	3.92228E-61	up-regulation
TPP1	2.09095E-32	1.73275E-31	up-regulation
LAMC1	1.31362E-36	2.02893E-35	up-regulation
PEA15	2.87796E-47	3.07237E-45	up-regulation
SPARCL1	3.0883E-18	4.26866E-18	up-regulation
MCL1	5.8435E-15	5.45664E-15	up-regulation
ZYX	4.0492E-37	6.83592E-36	up-regulation
GSTP1	2.72795E-22	6.01551E-22	down-regulation
FLNA	1.89936E-40	5.51523E-39	up-regulation
DHCR24	1.5541E-28	7.45161E-28	down-regulation
RAB11A	3.55307E-33	3.23219E-32	down-regulation
EPAS1	2.83632E-30	1.71582E-29	up-regulation
SRPR	5.63278E-41	1.85865E-39	up-regulation
GLUD1	6.0048E-38	1.19101E-36	down-regulation
MLF2	3.32275E-42	1.31092E-40	up-regulation
ARPC1A	2.00515E-29	1.08789E-28	down-regulation
ABLIM1	2.02688E-30	1.25974E-29	down-regulation
ACTA2	4.58153E-30	2.66497E-29	up-regulation
SERPING1	7.49978E-21	1.40753E-20	up-regulation
PSME3	1.00966E-23	2.62517E-23	up-regulation
TRIM28	7.50206E-58	2.723E-55	up-regulation
HADH	8.08113E-23	1.88629E-22	down-regulation
GNAI2	3.11123E-23	7.65608E-23	up-regulation
DUSP1	4.30199E-39	9.94573E-38	up-regulation
TGM2	4.99944E-36	6.82192E-35	up-regulation
PLD3	2.04768E-31	1.42111E-30	up-regulation
MYL9	9.43057E-46	6.58266E-44	up-regulation
SDHA	8.69783E-40	2.3737E-38	down-regulation
LGALS1	9.28999E-34	9.26362E-33	up-regulation
THBS1	3.81199E-39	8.98459E-38	up-regulation
TIMP3	3.68468E-33	3.34354E-32	up-regulation
IGFBP7	7.07324E-37	1.14105E-35	up-regulation
BHLHE40	1.15113E-31	8.44086E-31	up-regulation
HTRA1	8.95286E-31	5.78219E-30	up-regulation
SLC7A5	4.14879E-12	2.74494E-12	up-regulation
ILK	8.10029E-51	1.33642E-48	up-regulation
BTG2	5.15807E-29	2.63691E-28	up-regulation
PKM	1.79508E-24	5.15878E-24	up-regulation
BGN	6.35998E-53	1.35792E-50	up-regulation
CYR61	7.68521E-26	2.65664E-25	up-regulation
PRNP	7.08335E-27	2.7705E-26	up-regulation
11-Sep	2.04854E-27	8.55642E-27	up-regulation
IFITM2	1.17229E-17	1.49404E-17	up-regulation
SCP2	4.86003E-31	3.23675E-30	down-regulation
ADIPOR2	5.90813E-18	7.86667E-18	down-regulation
PLEC	2.4743E-16	2.71162E-16	up-regulation
ITGA5	5.37511E-36	7.27979E-35	up-regulation
IFI30	6.80505E-09	3.10185E-09	up-regulation
ALDH2	2.25727E-39	5.61175E-38	down-regulation
DPYSL3	1.83873E-41	6.4173E-40	up-regulation
COL6A3	3.86119E-32	3.05334E-31	up-regulation
MAPKAPK2	4.32839E-20	7.44931E-20	up-regulation
NQO1	2.00039E-36	2.98796E-35	down-regulation
JUNB	7.19878E-28	3.19038E-27	up-regulation
QSOX1	8.49172E-25	2.54518E-24	down-regulation
TGFBI	2.87008E-30	1.73047E-29	up-regulation
IGFBP4	2.9138E-59	1.17512E-56	up-regulation
ELF3	2.82499E-16	3.06907E-16	down-regulation
APOD	6.91942E-40	1.90266E-38	up-regulation
ZFP36	4.09911E-35	4.99275E-34	up-regulation
UBL3	6.29157E-17	7.46041E-17	down-regulation
FHL1	3.17048E-18	4.37059E-18	up-regulation
CLIC4	4.91628E-31	3.26224E-30	up-regulation
FSCN1	1.77347E-29	9.63641E-29	up-regulation
IFITM1	1.22169E-15	1.24385E-15	up-regulation
CALD1	8.00161E-41	2.50372E-39	up-regulation
CLPTM1	1.5804E-36	2.40013E-35	up-regulation
TNC	2.99948E-26	1.08762E-25	up-regulation
HSPG2	1.82394E-31	1.29051E-30	up-regulation
ACSL3	1.42139E-26	5.33522E-26	down-regulation
TIMP1	4.50097E-27	1.8032E-26	up-regulation
GJA1	3.3791E-13	2.5273E-13	up-regulation
TPD52	2.55477E-26	9.34775E-26	down-regulation
EGR1	1.7845E-34	1.98077E-33	up-regulation
PGRMC2	1.47551E-29	8.12688E-29	down-regulation
LAPTM5	2.76353E-15	2.69498E-15	up-regulation
CD14	5.83129E-22	1.22913E-21	up-regulation
TP53	1.66217E-33	1.6003E-32	up-regulation
CLINT1	1.52786E-42	6.84646E-41	up-regulation
RNASE1	2.35177E-27	9.80039E-27	down-regulation
FBLN1	9.53023E-17	1.10375E-16	up-regulation
AEBP1	3.59148E-27	1.46306E-26	up-regulation
SLC29A1	6.12038E-15	5.70053E-15	up-regulation
ENG	7.2698E-31	4.74586E-30	up-regulation
SH3BP5	1.84248E-20	3.32054E-20	up-regulation
HSPB1	3.14303E-16	3.39933E-16	up-regulation
COL3A1	2.09729E-20	3.74445E-20	up-regulation
CEACAM5	3.13573E-18	4.32598E-18	down-regulation
SLC20A1	1.0359E-20	1.91543E-20	up-regulation
NASP	1.75513E-19	2.8126E-19	down-regulation
PTPN12	3.06888E-30	1.84116E-29	up-regulation
PPP1R15A	9.27542E-38	1.74439E-36	up-regulation
EPHX1	5.316E-39	1.22122E-37	up-regulation
LTF	3.4486E-06	1.1448E-06	down-regulation
ALDOC	5.70272E-18	7.61271E-18	down-regulation
ASNA1	4.15136E-33	3.72971E-32	up-regulation
SFRP1	6.04789E-25	1.85247E-24	up-regulation
UBE4A	6.90208E-23	1.61732E-22	down-regulation
ALDH3A2	3.29529E-23	8.05983E-23	down-regulation
HNRNPL	2.50462E-27	1.03541E-26	down-regulation
PLTP	1.16254E-26	4.42774E-26	up-regulation
CTSL	9.58025E-38	1.76513E-36	up-regulation
TSPO	1.54708E-34	1.73851E-33	down-regulation
SLC4A2	4.42409E-22	9.46813E-22	up-regulation
CPNE3	1.40345E-19	2.28228E-19	up-regulation
CHMP2A	1.17405E-35	1.53841E-34	down-regulation
WWTR1	6.97098E-29	3.4756E-28	up-regulation
LY6E	6.0024E-34	6.11986E-33	up-regulation
CHPF	4.1078E-35	4.96998E-34	up-regulation
GAS7	3.46446E-44	1.99601E-42	up-regulation
BLVRB	2.98167E-27	1.22288E-26	down-regulation
LAMA4	1.05681E-36	1.66055E-35	up-regulation
AMFR	1.0103E-13	8.05943E-14	down-regulation
EP300	1.38081E-10	7.62729E-11	down-regulation
DES	1.07455E-26	4.10122E-26	up-regulation
STT3A	2.30883E-38	4.76153E-37	down-regulation
LOC101928916	9.57846E-27	3.6829E-26	up-regulation
NNMT	6.19397E-29	3.12251E-28	up-regulation
PLK1	4.06254E-28	1.85713E-27	up-regulation
PDGFRB	3.29716E-30	1.95549E-29	up-regulation
ACTG2	8.97787E-25	2.68203E-24	up-regulation
G6PD	2.10968E-12	1.4448E-12	up-regulation
SERPINF1	2.43813E-26	8.94802E-26	up-regulation
MGP	4.22336E-43	2.07154E-41	up-regulation
FABP5	1.12544E-09	5.60048E-10	down-regulation
SPOCK1	1.0799E-35	1.42533E-34	up-regulation
SEC24D	4.0442E-14	3.41057E-14	down-regulation
SERPINA3	5.55799E-07	2.03548E-07	up-regulation
BAG1	4.08976E-34	4.30275E-33	down-regulation
RGS2	0.001337766	0.00032004	up-regulation
COL1A2	2.25725E-39	5.65038E-38	up-regulation
IGF2	2.93322E-24	8.19601E-24	up-regulation
INS-IGF2	2.93322E-24	8.18971E-24	up-regulation
IFI27	2.47218E-25	7.97618E-25	down-regulation
DHX9	2.9472E-23	7.29698E-23	up-regulation
MYC	2.822E-16	3.06674E-16	up-regulation
CYP1B1	8.08362E-18	1.05467E-17	up-regulation
CTSK	1.1775E-42	5.34239E-41	up-regulation
LPIN2	1.0882E-23	2.82128E-23	down-regulation
PCOLCE	7.91921E-27	3.08413E-26	up-regulation
FXYD3	2.20053E-31	1.52428E-30	down-regulation
SLC2A3	3.28812E-28	1.52424E-27	up-regulation
SSFA2	6.55943E-20	1.10429E-19	down-regulation
TNFAIP2	6.95391E-19	1.04256E-18	up-regulation
PRSS8	3.0292E-13	2.27451E-13	down-regulation
DHFR	1.5031E-09	7.37463E-10	down-regulation
HMGCR	2.10257E-15	2.08003E-15	down-regulation
PRKCD	5.06451E-23	1.2062E-22	down-regulation
VAMP8	1.12846E-28	5.54252E-28	down-regulation
SLC30A9	1.32326E-22	3.03412E-22	down-regulation
IRF3	1.57036E-23	3.99992E-23	up-regulation
ICAM1	8.94769E-20	1.48433E-19	up-regulation
TNFAIP3	4.71067E-18	6.36803E-18	up-regulation
AXL	3.47512E-25	1.0997E-24	up-regulation
TNFSF10	1.08248E-17	1.38346E-17	down-regulation
CKMT1A	2.06614E-13	1.58449E-13	down-regulation
CKMT1B	2.06614E-13	1.58415E-13	down-regulation
IGFBP2	1.83695E-09	8.92097E-10	down-regulation
GFPT1	2.22583E-30	1.36933E-29	down-regulation
MIR4680	6.17315E-22	1.29442E-21	down-regulation
PKIG	2.7623E-29	1.47662E-28	up-regulation
TRIP10	2.35662E-24	6.6566E-24	up-regulation
CASP3	5.35921E-22	1.1349E-21	down-regulation
FBN1	1.28326E-31	9.3343E-31	up-regulation
FOSB	7.18892E-41	2.26899E-39	up-regulation
DBN1	3.42136E-17	4.18833E-17	up-regulation
GPX2	2.04195E-18	2.88277E-18	down-regulation
SERPINA1	5.77771E-13	4.2204E-13	up-regulation
CXCL8	2.83674E-15	2.76192E-15	up-regulation
MIR6883	5.20905E-20	8.85994E-20	up-regulation
PER1	5.20905E-20	8.85579E-20	up-regulation
OAS1	3.79955E-12	2.52446E-12	down-regulation
CD93	2.20794E-28	1.04486E-27	up-regulation
S100A8	7.16302E-19	1.07258E-18	up-regulation
DDT	1.84505E-15	1.8383E-15	down-regulation
DDTL	1.84505E-15	1.83779E-15	down-regulation
BTBD3	1.2892E-20	2.36451E-20	down-regulation
GYPC	4.30994E-25	1.34396E-24	up-regulation
C1QB	1.96182E-11	1.2006E-11	up-regulation
HCLS1	2.74033E-10	1.46207E-10	up-regulation
MUT	5.67291E-28	2.55469E-27	down-regulation
TRAF3IP2	4.82451E-18	6.50496E-18	down-regulation
RGS1	2.63564E-20	4.63493E-20	up-regulation
PYGL	2.88877E-23	7.16696E-23	up-regulation
C7	2.34537E-22	5.23226E-22	up-regulation
POLD4	5.77572E-19	8.73862E-19	down-regulation
SGSM3	1.94011E-20	3.48267E-20	down-regulation
SLPI	1.09613E-25	3.67029E-25	down-regulation
PTPRN2	4.08375E-13	3.03183E-13	down-regulation
MIR6872	2.03217E-46	1.75622E-44	down-regulation
THBS2	4.28438E-24	1.16312E-23	up-regulation
TGFB1	3.5085E-42	1.36932E-40	up-regulation
FBLN5	6.64183E-18	8.76641E-18	up-regulation
CSF1R	1.27638E-25	4.2542E-25	up-regulation
IMPA2	4.46658E-14	3.75195E-14	down-regulation
BCL6	5.31675E-33	4.68399E-32	up-regulation
RASSF2	4.75759E-12	3.12439E-12	up-regulation
NOTCH3	1.89171E-48	2.36768E-46	up-regulation
FCGBP	4.56836E-21	8.79662E-21	down-regulation
PPIP5K2	6.5684E-16	6.89448E-16	down-regulation
CDH3	4.84791E-05	1.39355E-05	up-regulation
DRAP1	6.90869E-34	7.00454E-33	up-regulation
HLA-DQA1	1.13015E-05	3.51625E-06	up-regulation
LMAN1	6.82211E-28	3.03084E-27	up-regulation
ATP1A2	1.06144E-17	1.35801E-17	up-regulation
SLC35A1	1.36353E-26	5.12865E-26	down-regulation
SH2B3	1.96001E-12	1.34484E-12	up-regulation
COL5A1	2.80721E-28	1.31474E-27	up-regulation
STX5	2.80298E-20	4.91492E-20	up-regulation
PHYH	2.3411E-34	2.56719E-33	down-regulation
UGDH	2.86801E-25	9.15562E-25	down-regulation
PSD3	3.16256E-16	3.4174E-16	down-regulation
DUSP14	6.87754E-35	8.13132E-34	up-regulation
RPS6KA1	5.144E-09	2.37243E-09	down-regulation
APOE	6.57259E-20	1.10548E-19	up-regulation
DGKA	2.10319E-07	8.07649E-08	up-regulation
ARRB2	1.26631E-16	1.44719E-16	up-regulation
HES1	1.20499E-40	3.61464E-39	down-regulation
SATB1	5.3449E-21	1.01945E-20	up-regulation
MFAP2	4.48581E-36	6.19088E-35	up-regulation
ARHGAP32	1.35226E-48	1.88778E-46	down-regulation
PRAF2	4.19261E-25	1.30849E-24	up-regulation
PMM1	1.28475E-18	1.86827E-18	down-regulation
PLEK	2.24753E-18	3.15459E-18	up-regulation
SLCO2B1	1.16667E-12	8.20188E-13	up-regulation
COL15A1	4.46201E-23	1.07398E-22	up-regulation
LSP1	1.36245E-36	2.07783E-35	up-regulation
S100A9	2.40161E-20	4.25221E-20	up-regulation
LPL	3.24366E-09	1.5338E-09	up-regulation
FEZ1	1.68619E-34	1.88317E-33	up-regulation
LOXL1	1.76083E-15	1.75825E-15	up-regulation
ADIRF	1.47168E-07	5.7636E-08	down-regulation
FSTL3	1.86765E-31	1.3163E-30	up-regulation
CD2AP	2.25823E-24	6.38863E-24	down-regulation
SULT1A1	8.81046E-12	5.61429E-12	down-regulation
CD163	1.01839E-14	9.21338E-15	up-regulation
PLA2G2A	8.29951E-21	1.55361E-20	up-regulation
SLC25A20	1.02546E-19	1.69186E-19	down-regulation
CXCL12	1.93784E-08	8.42664E-09	up-regulation
NUCB2	1.16174E-13	9.20082E-14	down-regulation
DFNA5	5.20668E-10	2.69478E-10	up-regulation
DIO2	1.73748E-29	9.45501E-29	up-regulation
PDE4B	1.05103E-28	5.1903E-28	up-regulation
PNPLA6	3.62924E-17	4.43085E-17	up-regulation
EMP3	7.87807E-33	6.82453E-32	up-regulation
JUND	1.26092E-34	1.42577E-33	up-regulation
TCF4	4.51169E-17	5.44775E-17	up-regulation
CEACAM6	0.005584435	0.00123633	down-regulation
SLA	9.2985E-13	6.60737E-13	up-regulation
GCA	6.45992E-23	1.52058E-22	down-regulation
LMOD1	4.23506E-23	1.02275E-22	up-regulation
STS	1.31506E-12	9.19698E-13	down-regulation
MPZL2	5.31079E-23	1.25907E-22	down-regulation
CDC42BPA	1.06389E-17	1.36067E-17	down-regulation
GUCY1B3	9.0569E-43	4.21456E-41	up-regulation
TSPAN8	2.95806E-12	1.98793E-12	down-regulation
IL32	1.27566E-13	1.0057E-13	up-regulation
LRRC32	1.08444E-41	3.82149E-40	up-regulation
KAT2B	2.99053E-21	5.85786E-21	down-regulation
IGFBP6	5.41365E-18	7.24816E-18	up-regulation
PALM	3.25469E-23	7.97667E-23	up-regulation
FBLN2	5.42738E-22	1.14866E-21	up-regulation
SCG5	5.13443E-13	3.77558E-13	down-regulation
PLCB4	3.75657E-17	4.57554E-17	down-regulation
HPGD	4.2177E-45	2.78343E-43	down-regulation
CXCL9	5.79239E-08	2.38102E-08	up-regulation
GSTA1	1.99079E-20	3.56306E-20	down-regulation
HLA-DMB	7.98339E-09	3.6059E-09	up-regulation
