Gene name,Gene stable ID,Gene type
TNS1,ENSG00000079308,protein_coding
MRGPRF,ENSG00000172935,protein_coding
CHRNA7,ENSG00000175344,protein_coding
DEFB1,ENSG00000164825,protein_coding
ALPK2,ENSG00000198796,protein_coding
SDHA,ENSG00000073578,protein_coding
STAP2,ENSG00000178078,protein_coding
DSC2,ENSG00000134755,protein_coding
SLC35D2,ENSG00000130958,protein_coding
CCDC125,ENSG00000277868,protein_coding
ALDH1B1,ENSG00000137124,protein_coding
PLCXD1,ENSG00000182378,protein_coding
PRUNE2,ENSG00000106772,protein_coding
SLC7A11,ENSG00000151012,protein_coding
TFF2,ENSG00000160181,protein_coding
GCNT1,ENSG00000187210,protein_coding
TNFAIP2,ENSG00000185215,protein_coding
FABP5,ENSG00000164687,protein_coding
PPFIBP2,ENSG00000166387,protein_coding
SESTD1,ENSG00000187231,protein_coding
TFF1,ENSG00000160182,protein_coding
PDPN,ENSG00000162493,protein_coding
MMP28,ENSG00000278843,protein_coding
NRSN2,ENSG00000125841,protein_coding
FIBIN,ENSG00000176971,protein_coding
DSP,ENSG00000096696,protein_coding
FABP4,ENSG00000170323,protein_coding
PDGFRB,ENSG00000113721,protein_coding
TMEM158,ENSG00000249992,protein_coding
MAGEA3,ENSG00000221867,protein_coding
GRHL2,ENSG00000083307,protein_coding
CSAG2,ENSG00000268902,protein_coding
DAZ1,ENSG00000188120,protein_coding
B3GNT3,ENSG00000179913,protein_coding
ABHD3,ENSG00000158201,protein_coding
DENND5A,ENSG00000184014,protein_coding
RMDN1,ENSG00000176623,protein_coding
THBS4,ENSG00000113296,protein_coding
IMPA2,ENSG00000141401,protein_coding
CYSTM1,ENSG00000120306,protein_coding
BCL2A1,ENSG00000140379,protein_coding
VSTM2A,ENSG00000170419,protein_coding
DAB2,ENSG00000153071,protein_coding
GOLGA6L9,ENSG00000197978,protein_coding
PCOLCE,ENSG00000106333,protein_coding
PHYH,ENSG00000107537,protein_coding
GPSM3,ENSG00000213654,protein_coding
GATA5,ENSG00000130700,protein_coding
SFTA2,ENSG00000237814,protein_coding
PTS,ENSG00000150787,protein_coding
TAX1BP3,ENSG00000213977,protein_coding
P2RX5-TAX1BP3,ENSG00000257950,protein_coding
TMEM171,ENSG00000157111,protein_coding
CHMP5,ENSG00000086065,protein_coding
CCNDBP1,ENSG00000166946,protein_coding
PLEKHA7,ENSG00000166689,protein_coding
C3,ENSG00000125730,protein_coding
OR7E14P,ENSG00000184669,transcribed_unprocessed_pseudogene
GATA6,ENSG00000141448,protein_coding
FGF10,ENSG00000070193,protein_coding
GATA6-AS1,ENSG00000266010,lncRNA
VPS13A,ENSG00000197969,protein_coding
FRAT1,ENSG00000165879,protein_coding
FRAT2,ENSG00000181274,protein_coding
PPP1R18,ENSG00000231247,protein_coding
DSG2,ENSG00000046604,protein_coding
SLIT2,ENSG00000145147,protein_coding
TMPRSS3,ENSG00000160183,protein_coding
LIPF,ENSG00000182333,protein_coding
HSPG2,ENSG00000142798,protein_coding
ACTC1,ENSG00000159251,protein_coding
PRR26,ENSG00000180525,protein_coding
LY6E,ENSG00000278032,protein_coding
LILRB1,ENSG00000274669,protein_coding
PTPRN2,ENSG00000282185,protein_coding
TMEM41B,ENSG00000166471,protein_coding
MAGEA12,ENSG00000213401,protein_coding
ATP10B,ENSG00000118322,protein_coding
DAZ2,ENSG00000205944,protein_coding
MAP4K3,ENSG00000011566,protein_coding
TSPAN4,ENSG00000214063,protein_coding
IGHG4,ENSG00000277016,IG_C_gene
CCND1,ENSG00000110092,protein_coding
OSR2,ENSG00000164920,protein_coding
ACYP1,ENSG00000119640,protein_coding
UBL3,ENSG00000122042,protein_coding
HADH,ENSG00000138796,protein_coding
XDH,ENSG00000158125,protein_coding
CPA2,ENSG00000158516,protein_coding
TM6SF1,ENSG00000136404,protein_coding
CSAG3,ENSG00000268916,protein_coding
MAGEA6,ENSG00000197172,protein_coding
RHOH,ENSG00000168421,protein_coding
ZFAND2A,ENSG00000178381,protein_coding
CEBPD,ENSG00000221869,protein_coding
CHKA,ENSG00000110721,protein_coding
ACSL3,ENSG00000123983,protein_coding
PAQR8,ENSG00000170915,protein_coding
DISP2,ENSG00000140323,protein_coding
PLN,ENSG00000198523,protein_coding
PLAU,ENSG00000122861,protein_coding
MORC2-AS1,ENSG00000235989,lncRNA
GRAMD1B,ENSG00000023171,protein_coding
MSR1,ENSG00000038945,protein_coding
TRIM31,ENSG00000224542,protein_coding
SIX2,ENSG00000170577,protein_coding
GPNMB,ENSG00000136235,protein_coding
TVP23B,ENSG00000171928,protein_coding
FER1L4,ENSG00000088340,transcribed_unitary_pseudogene
MYH11,ENSG00000276480,protein_coding
IL7R,ENSG00000168685,protein_coding
H19,ENSG00000130600,lncRNA
ARX,ENSG00000004848,protein_coding
RAB11B-AS1,ENSG00000269386,lncRNA
IGF2BP3,ENSG00000136231,protein_coding
GPSM3,ENSG00000206314,protein_coding
FZD5,ENSG00000163251,protein_coding
KCNK6,ENSG00000099337,protein_coding
CHUK,ENSG00000213341,protein_coding
FOS,ENSG00000170345,protein_coding
HEPACAM2,ENSG00000188175,protein_coding
CDC42-IT1,ENSG00000230068,lncRNA
IL2RA,ENSG00000134460,protein_coding
SMIM2-AS1,ENSG00000227258,lncRNA
ERAL1,ENSG00000132591,protein_coding
RASD1,ENSG00000108551,protein_coding
ANKRD22,ENSG00000152766,protein_coding
RHPN2,ENSG00000131941,protein_coding
SAPCD1-AS1,ENSG00000235765,lncRNA
ZFPM2,ENSG00000169946,protein_coding
KAZALD1,ENSG00000107821,protein_coding
THAP9-AS1,ENSG00000251022,lncRNA
IGHV3-23,ENSG00000281962,IG_V_gene
LAMA4,ENSG00000112769,protein_coding
KBTBD2,ENSG00000170852,protein_coding
ZG16B,ENSG00000162078,protein_coding
PTP4A3,ENSG00000275575,protein_coding
MGAM,ENSG00000282607,protein_coding
CXCR2,ENSG00000180871,protein_coding
EGFL6,ENSG00000198759,protein_coding
GLIS2,ENSG00000126603,protein_coding
TYROBP,ENSG00000011600,protein_coding
MIA2,ENSG00000150527,protein_coding
ESRP1,ENSG00000104413,protein_coding
SMTN,ENSG00000183963,protein_coding
RSPH1,ENSG00000160188,protein_coding
FXYD3,ENSG00000089356,protein_coding
MLLT3,ENSG00000171843,protein_coding
PNPLA6,ENSG00000032444,protein_coding
HLA-DMB,ENSG00000234154,protein_coding
TMEM120A,ENSG00000189077,protein_coding
HLA-DQA1,ENSG00000196735,protein_coding
FNDC1,ENSG00000164694,protein_coding
ENTPD3,ENSG00000168032,protein_coding
FLRT2,ENSG00000185070,protein_coding
PKM,ENSG00000067225,protein_coding
CPNE3,ENSG00000085719,protein_coding
BARX1,ENSG00000131668,protein_coding
NUCB2,ENSG00000070081,protein_coding
SCG2,ENSG00000171951,protein_coding
ARSJ,ENSG00000180801,protein_coding
UGT8,ENSG00000174607,protein_coding
UQCR10,ENSG00000184076,protein_coding
CD72,ENSG00000137101,protein_coding
NMU,ENSG00000109255,protein_coding
VSIG4,ENSG00000155659,protein_coding
IL32,ENSG00000008517,protein_coding
IDH1,ENSG00000138413,protein_coding
GFPT2,ENSG00000131459,protein_coding
GPC6,ENSG00000183098,protein_coding
ASB2,ENSG00000278693,protein_coding
CLMN,ENSG00000165959,protein_coding
INSM1,ENSG00000173404,protein_coding
YWHAE,ENSG00000108953,protein_coding
MEP1B,ENSG00000141434,protein_coding
CABLES1,ENSG00000134508,protein_coding
THRB-IT1,ENSG00000224822,lncRNA
DHFR,ENSG00000228716,protein_coding
THRB,ENSG00000151090,protein_coding
ASCC2,ENSG00000100325,protein_coding
TNFRSF6B,ENSG00000243509,protein_coding
SFTA2,ENSG00000196260,protein_coding
KCNMB1,ENSG00000145936,protein_coding
ACAD8,ENSG00000151498,protein_coding
CHGB,ENSG00000089199,protein_coding
SLC28A2,ENSG00000137860,protein_coding
PPARG,ENSG00000132170,protein_coding
HLA-DQA1,ENSG00000206305,protein_coding
C1QA,ENSG00000173372,protein_coding
PLXDC2,ENSG00000120594,protein_coding
C1QC,ENSG00000159189,protein_coding
C1QB,ENSG00000173369,protein_coding
MEDAG,ENSG00000102802,protein_coding
NRP2,ENSG00000118257,protein_coding
SCGN,ENSG00000079689,protein_coding
TLCD2,ENSG00000185561,protein_coding
ACTA2,ENSG00000107796,protein_coding
FAM221A,ENSG00000188732,protein_coding
LYPD6B,ENSG00000150556,protein_coding
INS-IGF2,ENSG00000129965,protein_coding
IGF2,ENSG00000167244,protein_coding
FAM86B1,ENSG00000186523,protein_coding
TREH,ENSG00000118094,protein_coding
B3GALT5,ENSG00000183778,protein_coding
TUBB6,ENSG00000176014,protein_coding
TRIP10,ENSG00000125733,protein_coding
FBP2,ENSG00000130957,protein_coding
FBP1,ENSG00000165140,protein_coding
CNNM4,ENSG00000158158,protein_coding
FAS,ENSG00000026103,protein_coding
EPHB2,ENSG00000133216,protein_coding
HLA-DQA2,ENSG00000237541,protein_coding
SOD2,ENSG00000112096,protein_coding
ASB2,ENSG00000100628,protein_coding
CPXM2,ENSG00000121898,protein_coding
SOD2,ENSG00000285441,protein_coding
PIK3R1,ENSG00000145675,protein_coding
HLA-DQA2,ENSG00000225103,protein_coding
DAZ3,ENSG00000187191,protein_coding
SLC6A20,ENSG00000163817,protein_coding
MIR22HG,ENSG00000186594,lncRNA
DDTL,ENSG00000099974,protein_coding
AKR1B10,ENSG00000198074,protein_coding
DDT,ENSG00000099977,protein_coding
CYP3A5,ENSG00000106258,protein_coding
CLDN23,ENSG00000253958,protein_coding
CA9,ENSG00000107159,protein_coding
KCNE2,ENSG00000159197,protein_coding
PANK3,ENSG00000120137,protein_coding
IFITM2,ENSG00000185201,protein_coding
IFITM1,ENSG00000185885,protein_coding
C4A,ENSG00000206340,protein_coding
RNF183,ENSG00000165188,protein_coding
SMYD1,ENSG00000115593,protein_coding
IFITM3,ENSG00000142089,protein_coding
C8orf49,ENSG00000255394,lncRNA
FABP1,ENSG00000163586,protein_coding
ARHGEF28,ENSG00000214944,protein_coding
C6orf58,ENSG00000184530,protein_coding
BGN,ENSG00000182492,protein_coding
BPHL,ENSG00000137274,protein_coding
SCG5,ENSG00000166922,protein_coding
EPAS1,ENSG00000116016,protein_coding
VPS4B,ENSG00000119541,protein_coding
LMAN1,ENSG00000074695,protein_coding
CCL3,ENSG00000278567,protein_coding
ZDHHC11B,ENSG00000206077,protein_coding
CYP2C18,ENSG00000108242,protein_coding
DAZ4,ENSG00000205916,protein_coding
GREM1,ENSG00000166923,protein_coding
GDA,ENSG00000119125,protein_coding
IFI27,ENSG00000275214,protein_coding
FXYD1,ENSG00000266964,protein_coding
CYP2C19,ENSG00000165841,protein_coding
MSMB,ENSG00000263639,protein_coding
FAM86C1,ENSG00000158483,protein_coding
RDH12,ENSG00000139988,protein_coding
MARVELD2,ENSG00000274671,protein_coding
SAPCD1-AS1,ENSG00000238017,lncRNA
C15orf48,ENSG00000166920,protein_coding
LAIR1,ENSG00000276163,protein_coding
HMGN2P46,ENSG00000179362,transcribed_processed_pseudogene
MEOX2,ENSG00000106511,protein_coding
LYPD6,ENSG00000187123,protein_coding
CCL3L3,ENSG00000277796,protein_coding
SIMC1,ENSG00000170085,protein_coding
COL17A1,ENSG00000065618,protein_coding
ZDHHC11,ENSG00000188818,protein_coding
CENPV,ENSG00000166582,protein_coding
ZNF37A,ENSG00000075407,protein_coding
LINC00520,ENSG00000258791,lncRNA
IFI30,ENSG00000216490,protein_coding
OCLN,ENSG00000273814,protein_coding
ASPHD2,ENSG00000128203,protein_coding
DUSP1,ENSG00000120129,protein_coding
GNAI2,ENSG00000114353,protein_coding
TSPAN5,ENSG00000168785,protein_coding
HLA-DPA1,ENSG00000224103,protein_coding
TMEM14A,ENSG00000096092,protein_coding
C4B_2,ENSG00000233312,protein_coding
BMP2,ENSG00000125845,protein_coding
ALDOC,ENSG00000109107,protein_coding
SOSTDC1,ENSG00000171243,protein_coding
KLB,ENSG00000134962,protein_coding
GNA14,ENSG00000156049,protein_coding
NEUROD1,ENSG00000162992,protein_coding
STS,ENSG00000101846,protein_coding
KHNYN,ENSG00000100441,protein_coding
PPP1R18,ENSG00000230341,protein_coding
GOLGA2P7,ENSG00000225151,transcribed_unprocessed_pseudogene
GOLGA6L4,ENSG00000184206,protein_coding
SOWAHA,ENSG00000198944,protein_coding
MEIS2,ENSG00000134138,protein_coding
ZEB1,ENSG00000148516,protein_coding
MAP7D2,ENSG00000184368,protein_coding
GAS1,ENSG00000180447,protein_coding
LIF,ENSG00000128342,protein_coding
FAM86B2,ENSG00000145002,protein_coding
LIMS2,ENSG00000072163,protein_coding
GOLGA6L5P,ENSG00000230373,transcribed_unprocessed_pseudogene
ATP8B1,ENSG00000081923,protein_coding
CPLX1,ENSG00000168993,protein_coding
RAP1GAP2,ENSG00000132359,protein_coding
C4B,ENSG00000224639,lncRNA
BDKRB1,ENSG00000100739,protein_coding
CHMP4C,ENSG00000164695,protein_coding
IFI27,ENSG00000165949,protein_coding
MUC6,ENSG00000184956,protein_coding
VAMP8,ENSG00000118640,protein_coding
DUSP4,ENSG00000120875,protein_coding
C4A,ENSG00000244731,protein_coding
CCL3L3,ENSG00000277768,protein_coding
SERPINF1,ENSG00000132386,protein_coding
NDN,ENSG00000182636,protein_coding
DHRS11,ENSG00000278535,protein_coding
RNASE4,ENSG00000258818,protein_coding
ANG,ENSG00000214274,protein_coding
FAM3D,ENSG00000198643,protein_coding
CCL15,ENSG00000275528,protein_coding
CCL14,ENSG00000277236,protein_coding
SLC1A3,ENSG00000079215,protein_coding
MMP9,ENSG00000100985,protein_coding
MYC,ENSG00000136997,protein_coding
C4B,ENSG00000228454,protein_coding
SYT4,ENSG00000132872,protein_coding
TBC1D32,ENSG00000146350,protein_coding
CASP6,ENSG00000138794,protein_coding
FBXL22,ENSG00000197361,protein_coding
MYO1F,ENSG00000142347,protein_coding
PRAF2,ENSG00000243279,protein_coding
GPSM3,ENSG00000236697,protein_coding
CHAC2,ENSG00000143942,protein_coding
C4orf19,ENSG00000154274,protein_coding
SACS,ENSG00000151835,protein_coding
RNASE6,ENSG00000169413,protein_coding
KDM7A,ENSG00000006459,protein_coding
ITGA1,ENSG00000213949,protein_coding
GGT5,ENSG00000099998,protein_coding
RNASE1,ENSG00000129538,protein_coding
CCL3,ENSG00000274221,protein_coding
CCL4,ENSG00000275824,protein_coding
CALD1,ENSG00000122786,protein_coding
SOX21-AS1,ENSG00000227640,lncRNA
F2RL2,ENSG00000164220,protein_coding
CCR1,ENSG00000163823,protein_coding
CLIC4,ENSG00000169504,protein_coding
TPM2,ENSG00000198467,protein_coding
GPR65,ENSG00000140030,protein_coding
EGR3,ENSG00000179388,protein_coding
SERPINE1,ENSG00000106366,protein_coding
MGST2,ENSG00000085871,protein_coding
ATP4A,ENSG00000105675,protein_coding
RNASE2,ENSG00000169385,protein_coding
AKR7A3,ENSG00000162482,protein_coding
HLA-DMB,ENSG00000241674,protein_coding
GPR39,ENSG00000183840,protein_coding
PYGM,ENSG00000068976,protein_coding
HAPLN4,ENSG00000187664,protein_coding
TM6SF2,ENSG00000213996,protein_coding
AGR2,ENSG00000106541,protein_coding
MUC5AC,ENSG00000215182,protein_coding
HINT3,ENSG00000111911,protein_coding
C4A,ENSG00000227746,protein_coding
CAMSAP3,ENSG00000076826,protein_coding
COL5A3,ENSG00000080573,protein_coding
SMIM24,ENSG00000095932,protein_coding
PDGFRL,ENSG00000104213,protein_coding
TRIM31,ENSG00000224168,protein_coding
FXYD5,ENSG00000089327,protein_coding
PRSS12,ENSG00000164099,protein_coding
GPSM3,ENSG00000234243,protein_coding
GLOD4,ENSG00000167699,protein_coding
TFPI2,ENSG00000105825,protein_coding
AQP9,ENSG00000103569,protein_coding
CD81,ENSG00000110651,protein_coding
PYGL,ENSG00000100504,protein_coding
GJA1,ENSG00000152661,protein_coding
NKX2-3,ENSG00000119919,protein_coding
E2F8,ENSG00000129173,protein_coding
CTSL,ENSG00000135047,protein_coding
CEP170P1,ENSG00000154608,transcribed_unprocessed_pseudogene
LINC01003,ENSG00000261455,lncRNA
GSTA1,ENSG00000243955,protein_coding
GSKIP,ENSG00000100744,protein_coding
SUGCT,ENSG00000175600,protein_coding
CYB5A,ENSG00000166347,protein_coding
C6orf132,ENSG00000188112,protein_coding
ME1,ENSG00000065833,protein_coding
LAIR1,ENSG00000278154,protein_coding
ADIPOR2,ENSG00000006831,protein_coding
SALL4,ENSG00000101115,protein_coding
LIAS,ENSG00000121897,protein_coding
BTNL8,ENSG00000113303,protein_coding
SPAG1,ENSG00000104450,protein_coding
ADH1A,ENSG00000187758,protein_coding
LINC01268,ENSG00000227502,lncRNA
INHBA,ENSG00000122641,protein_coding
CTSLP8,ENSG00000234575,unprocessed_pseudogene
NCKAP5,ENSG00000176771,protein_coding
SLC14A1,ENSG00000141469,protein_coding
SMAD7,ENSG00000101665,protein_coding
TNFRSF17,ENSG00000048462,protein_coding
PKIG,ENSG00000168734,protein_coding
FOSL1,ENSG00000175592,protein_coding
ZKSCAN1,ENSG00000106261,protein_coding
AGR3,ENSG00000173467,protein_coding
MBOAT1,ENSG00000172197,protein_coding
CCL3L3,ENSG00000277336,protein_coding
CXCR4,ENSG00000121966,protein_coding
FBLN2,ENSG00000163520,protein_coding
RBPMS,ENSG00000157110,protein_coding
CLDN3,ENSG00000165215,protein_coding
KBTBD7,ENSG00000120696,protein_coding
HLA-DMB,ENSG00000242574,protein_coding
ABCC6,ENSG00000275331,protein_coding
KCNK10,ENSG00000100433,protein_coding
MXRA8,ENSG00000162576,protein_coding
SEC14L1P1,ENSG00000213693,processed_pseudogene
TCEAL2,ENSG00000184905,protein_coding
FXYD6,ENSG00000137726,protein_coding
HIGD1A,ENSG00000181061,protein_coding
TNFSF13B,ENSG00000102524,protein_coding
NXN,ENSG00000167693,protein_coding
UCHL1,ENSG00000154277,protein_coding
ZNF662,ENSG00000182983,protein_coding
LILRB1,ENSG00000276452,protein_coding
MRPS36,ENSG00000134056,protein_coding
HLA-DQA1,ENSG00000225890,protein_coding
BEX5,ENSG00000184515,protein_coding
PKIB,ENSG00000135549,protein_coding
ARHGAP12,ENSG00000165322,protein_coding
C11orf96,ENSG00000187479,protein_coding
CDHR2,ENSG00000074276,protein_coding
ANKRD29,ENSG00000154065,protein_coding
RBM42,ENSG00000126254,protein_coding
F2RL1,ENSG00000164251,protein_coding
RENBP,ENSG00000102032,protein_coding
COL1A2,ENSG00000164692,protein_coding
HSPB1,ENSG00000106211,protein_coding
AQP11,ENSG00000178301,protein_coding
GC,ENSG00000145321,protein_coding
DAPK2,ENSG00000035664,protein_coding
MMEL1,ENSG00000142606,protein_coding
VSIG2,ENSG00000019102,protein_coding
LOX,ENSG00000113083,protein_coding
NOL4,ENSG00000101746,protein_coding
BAG2,ENSG00000112208,protein_coding
TIMP1,ENSG00000102265,protein_coding
FKBP5,ENSG00000096060,protein_coding
SFTA2,ENSG00000225454,protein_coding
HLA-DQA1,ENSG00000228284,protein_coding
RAB23,ENSG00000112210,protein_coding
LCP1,ENSG00000136167,protein_coding
TMC4,ENSG00000274384,protein_coding
FAM83D,ENSG00000101447,protein_coding
LY96,ENSG00000154589,protein_coding
CCDC125,ENSG00000183323,protein_coding
ALDH1A1,ENSG00000165092,protein_coding
ESAM,ENSG00000149564,protein_coding
FANCL,ENSG00000115392,protein_coding
ID3,ENSG00000117318,protein_coding
LTF,ENSG00000012223,protein_coding
HYAL1,ENSG00000114378,protein_coding
DUSP14,ENSG00000276023,protein_coding
DDTL,ENSG00000275758,protein_coding
DDT,ENSG00000275003,protein_coding
TRIM68,ENSG00000167333,protein_coding
GALNT12,ENSG00000119514,protein_coding
LYVE1,ENSG00000133800,protein_coding
MRVI1,ENSG00000072952,protein_coding
FRK,ENSG00000111816,protein_coding
OVOL2,ENSG00000125850,protein_coding
CYP2B7P,ENSG00000256612,transcribed_unprocessed_pseudogene
COL12A1,ENSG00000111799,protein_coding
TRIM31,ENSG00000223531,protein_coding
MIA,ENSG00000261857,protein_coding
SDCBP2,ENSG00000125775,protein_coding
C8orf88,ENSG00000253250,protein_coding
PLVAP,ENSG00000130300,protein_coding
DBN1,ENSG00000113758,protein_coding
FRMD6,ENSG00000139926,protein_coding
JUND,ENSG00000130522,protein_coding
ELOVL6,ENSG00000170522,protein_coding
PPP1R18,ENSG00000236428,protein_coding
CCL15,ENSG00000275718,protein_coding
CCL14,ENSG00000276409,protein_coding
HLA-DQA2,ENSG00000206301,protein_coding
AAMDC,ENSG00000087884,protein_coding
S1PR3,ENSG00000213694,protein_coding
ZYX,ENSG00000159840,protein_coding
MN1,ENSG00000169184,protein_coding
SLTM,ENSG00000137776,protein_coding
TRIM31,ENSG00000233573,protein_coding
PRPF39,ENSG00000185246,protein_coding
NRG4,ENSG00000169752,protein_coding
NMT2,ENSG00000152465,protein_coding
MMEL1,ENSG00000277131,protein_coding
PRDM16,ENSG00000142611,protein_coding
PCDHB10,ENSG00000120324,protein_coding
PCDHB16,ENSG00000272674,protein_coding
TNFAIP6,ENSG00000123610,protein_coding
DUSP2,ENSG00000158050,protein_coding
DEGS2,ENSG00000168350,protein_coding
TDGF1,ENSG00000241186,protein_coding
TP53,ENSG00000141510,protein_coding
PIR,ENSG00000087842,protein_coding
C15orf65,ENSG00000261652,protein_coding
RAB27A,ENSG00000069974,protein_coding
CCL4,ENSG00000275302,protein_coding
PLAC8,ENSG00000145287,protein_coding
SMIM14,ENSG00000163683,protein_coding
FBXL7,ENSG00000183580,protein_coding
CCL3,ENSG00000277632,protein_coding
UGDH,ENSG00000109814,protein_coding
HLA-DPA1,ENSG00000231389,protein_coding
MGAM,ENSG00000257335,protein_coding
TMEM163,ENSG00000152128,protein_coding
AC092620.2,ENSG00000260059,lncRNA
PI15,ENSG00000137558,protein_coding
PLA2G2A,ENSG00000188257,protein_coding
COL10A1,ENSG00000123500,protein_coding
YWHAE,ENSG00000274474,protein_coding
SPARCL1,ENSG00000152583,protein_coding
CLEC5A,ENSG00000258227,protein_coding
CTHRC1,ENSG00000164932,protein_coding
AHNAK2,ENSG00000185567,protein_coding
FOLR1,ENSG00000110195,protein_coding
ACTG2,ENSG00000163017,protein_coding
HTRA1,ENSG00000166033,protein_coding
HSPB6,ENSG00000004776,protein_coding
MIR100HG,ENSG00000255248,lncRNA
EDN3,ENSG00000124205,protein_coding
MBNL3,ENSG00000076770,protein_coding
SPINK2,ENSG00000128040,protein_coding
NDUFC2-KCTD14,ENSG00000259112,protein_coding
KCTD14,ENSG00000151364,protein_coding
UNC5CL,ENSG00000124602,protein_coding
PLA2G2D,ENSG00000117215,protein_coding
KCNJ15,ENSG00000157551,protein_coding
DNM1,ENSG00000106976,protein_coding
MFAP4,ENSG00000166482,protein_coding
GLIS2,ENSG00000274636,protein_coding
MCU,ENSG00000156026,protein_coding
LILRB3,ENSG00000275019,protein_coding
FAM110C,ENSG00000184731,protein_coding
PDLIM7,ENSG00000196923,protein_coding
ANXA10,ENSG00000109511,protein_coding
RSPO3,ENSG00000146374,protein_coding
SLC38A1,ENSG00000111371,protein_coding
NEDD4L,ENSG00000049759,protein_coding
LST1,ENSG00000204482,protein_coding
ABHD17C,ENSG00000136379,protein_coding
TLN2,ENSG00000171914,protein_coding
KRTCAP3,ENSG00000157992,protein_coding
EPHX2,ENSG00000120915,protein_coding
IFT172,ENSG00000138002,protein_coding
ACE2,ENSG00000130234,protein_coding
C19orf33,ENSG00000167644,protein_coding
ZNF580,ENSG00000213015,protein_coding
RHOBTB1,ENSG00000072422,protein_coding
PPP1R14A,ENSG00000167641,protein_coding
CCL3L1,ENSG00000276085,protein_coding
MYO10,ENSG00000145555,protein_coding
GALE,ENSG00000117308,protein_coding
DRAP1,ENSG00000175550,protein_coding
NOX4,ENSG00000086991,protein_coding
VNN2,ENSG00000112303,protein_coding
SEC24D,ENSG00000150961,protein_coding
FILIP1,ENSG00000118407,protein_coding
SULF1,ENSG00000137573,protein_coding
CEMIP,ENSG00000103888,protein_coding
CHRFAM7A,ENSG00000166664,protein_coding
CARD6,ENSG00000132357,protein_coding
MUC6,ENSG00000277518,polymorphic_pseudogene
DDX60,ENSG00000137628,protein_coding
LOXL1,ENSG00000129038,protein_coding
ADH1C,ENSG00000248144,protein_coding
RHBDL2,ENSG00000158315,protein_coding
SMIM15,ENSG00000188725,protein_coding
SYNPO2,ENSG00000172403,protein_coding
SPATA5,ENSG00000145375,protein_coding
TTYH3,ENSG00000136295,protein_coding
SPP1,ENSG00000118785,protein_coding
CYP2C9,ENSG00000138109,protein_coding
CA2,ENSG00000104267,protein_coding
MZB1,ENSG00000170476,protein_coding
LINC01127,ENSG00000281162,lncRNA
SPSB1,ENSG00000171621,protein_coding
C20orf27,ENSG00000101220,protein_coding
ADAMTS1,ENSG00000154734,protein_coding
SAPCD1-AS1,ENSG00000227856,lncRNA
GRTP1,ENSG00000139835,protein_coding
PRR15,ENSG00000176532,protein_coding
MAMDC2,ENSG00000278608,protein_coding
DDX60L,ENSG00000181381,protein_coding
